Entity,Code,Year,Annual number of fires
Albania,ALB,2012,349
Albania,ALB,2013,46
Albania,ALB,2014,23
Albania,ALB,2015,81
Albania,ALB,2016,48
Albania,ALB,2017,263
Albania,ALB,2018,38
Albania,ALB,2019,113
Albania,ALB,2020,105
Albania,ALB,2021,98
Albania,ALB,2022,119
Albania,ALB,2023,34
Albania,ALB,2024,127
Albania,ALB,2025,4
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Andorra,AND,2016,0
Andorra,AND,2017,0
Andorra,AND,2018,0
Andorra,AND,2019,0
Andorra,AND,2020,0
Andorra,AND,2021,0
Andorra,AND,2022,0
Andorra,AND,2023,0
Andorra,AND,2024,0
Andorra,AND,2025,0
Austria,AUT,2012,3
Austria,AUT,2013,3
Austria,AUT,2014,5
Austria,AUT,2015,2
Austria,AUT,2016,0
Austria,AUT,2017,4
Austria,AUT,2018,3
Austria,AUT,2019,7
Austria,AUT,2020,0
Austria,AUT,2021,4
Austria,AUT,2022,5
Austria,AUT,2023,2
Austria,AUT,2024,8
Austria,AUT,2025,5
Belarus,BLR,2012,196
Belarus,BLR,2013,109
Belarus,BLR,2014,533
Belarus,BLR,2015,606
Belarus,BLR,2016,95
Belarus,BLR,2017,158
Belarus,BLR,2018,179
Belarus,BLR,2019,371
Belarus,BLR,2020,273
Belarus,BLR,2021,97
Belarus,BLR,2022,126
Belarus,BLR,2023,33
Belarus,BLR,2024,37
Belarus,BLR,2025,65
Belgium,BEL,2012,0
Belgium,BEL,2013,2
Belgium,BEL,2014,4
Belgium,BEL,2015,1
Belgium,BEL,2016,2
Belgium,BEL,2017,0
Belgium,BEL,2018,2
Belgium,BEL,2019,4
Belgium,BEL,2020,1
Belgium,BEL,2021,3
Belgium,BEL,2022,4
Belgium,BEL,2023,2
Belgium,BEL,2024,0
Bosnia and Herzegovina,BIH,2012,469
Bosnia and Herzegovina,BIH,2013,39
Bosnia and Herzegovina,BIH,2014,57
Bosnia and Herzegovina,BIH,2015,144
Bosnia and Herzegovina,BIH,2016,150
Bosnia and Herzegovina,BIH,2017,269
Bosnia and Herzegovina,BIH,2018,45
Bosnia and Herzegovina,BIH,2019,172
Bosnia and Herzegovina,BIH,2020,294
Bosnia and Herzegovina,BIH,2021,143
Bosnia and Herzegovina,BIH,2022,285
Bosnia and Herzegovina,BIH,2023,30
Bosnia and Herzegovina,BIH,2024,103
Bosnia and Herzegovina,BIH,2025,34
Bulgaria,BGR,2012,764
