id,code_INSEE,surface_parcourue_m2,Tens_vap_med
1,43192,72000.0,8.1
2,15095,150000.0,9.4
3,15205,300000.0,7.6
4,15187,70000.0,8.7
5,15029,80000.0,9.65
6,15229,50000.0,8.3
7,12099,75000.0,10.6
8,12240,75000.0,9.65
9,15038,180000.0,7.3
10,15015,50000.0,9.4
11,38138,50000.0,10.2
12,58003,70000.0,9.6
13,12096,50000.0,10.4
14,12147,50000.0,9.55
15,15166,50000.0,10.1
16,15083,60000.0,9.4
17,38523,50000.0,11.0
18,12130,650000.0,10.1
19,15207,100000.0,3.6
20,97411,150000.0,20.75
21,97411,85000.0,20.75
22,40184,162907.0,12.7
23,40040,153000.0,11.2
24,33329,119800.0,12.4
25,16384,50000.0,11.4
26,34235,74000.0,9.6
27,34178,83300.0,11.1
28,2B251,200000.0,12.6
29,4093,182000.0,8.8
30,66072,50000.0,7.15
31,30090,102800.0,9.6
32,7194,86000.0,12.1
33,7114,120000.0,8.3
34,7263,166000.0,9.6
35,34316,55000.0,10.7
36,34016,150000.0,10.95
37,34286,100000.0,10.7
38,34341,101100.0,11.9
39,4229,68000.0,9.1
40,11251,64200.0,11.7
41,34143,320000.0,11.9
42,34286,190200.0,10.7
43,7202,450000.0,9.7
44,7136,76000.0,8.5
45,6042,518181.0,7.1
46,6116,120500.0,7.7
47,2B049,50000.0,11.9
48,48119,50000.0,8.5
49,66179,70000.0,9.65
50,66016,50000.0,12.3
51,7045,590000.0,9.7
52,5033,223300.0,8.7
53,7153,114000.0,9.5
54,11265,53200.0,8.5
55,83007,50000.0,11.3
56,48022,60000.0,8.8
57,48097,50000.0,9.2
58,48186,60000.0,8.8
59,30062,70606.0,12.3
60,4039,50000.0,7.75
61,83114,60475.0,10.7
62,34169,76600.0,10.9
63,7147,80000.0,9.7
64,2A324,153000.0,9.25
65,2A139,147300.0,12.2
66,2B096,70000.0,4.9
67,2B080,260200.0,10.9
68,66207,100000.0,10.95
69,66056,50000.0,10.95
70,66088,70000.0,11.2
71,2B058,50000.0,12.55
72,34339,140000.0,11.0
73,83150,50000.0,10.2
74,2B185,60000.0,12.3
75,2B079,185100.0,11.4
76,2B110,150067.0,10.9
77,11097,267000.0,10.6
78,66004,300000.0,6.9
79,66021,100000.0,12.1
80,2B112,650000.0,12.6
81,11396,672258.0,11.2
82,11069,95300.0,11.4
83,4070,50000.0,9.3
84,2B185,59000.0,12.3
85,34038,130000.0,10.5
86,48070,350000.0,7.3
87,2B185,60000.0,12.3
88,2B185,60000.0,12.3
89,2B049,60000.0,11.9
90,13067,74000.0,11.8
91,13001,180000.0,10.85
92,11262,582300.0,12.1
93,34186,52000.0,10.7
94,11285,71100.0,12.1
95,34032,54000.0,11.8
96,2B185,90000.0,12.3
97,7038,500000.0,9.7
98,7147,80000.0,9.7
99,48148,50000.0,10.1
100,66137,120000.0,11.0
101,34165,414500.0,11.9
102,66141,140000.0,11.4
103,66069,50000.0,11.4
104,83099,254000.0,12.5
105,34061,230000.0,11.1
106,66030,50000.0,10.95
107,66214,160000.0,11.8
108,66005,630000.0,6.85
109,66088,50000.0,11.2
110,66227,150000.0,11.4
111,11397,143800.0,11.7
112,66147,50000.0,6.85
113,4163,297000.0,8.5
114,4156,264000.0,9.2
115,13112,320000.0,10.8
