code_INSEE,latitude,longitude,altitude_med
43192,44.8548,3.7554,1150.0
15095,45.0283,2.5257,940.0
15205,45.1374,2.5504,940.0
15187,45.0251,3.073,975.0
15029,44.6761,2.3822,439.0
15229,45.0897,3.2714,805.0
12099,43.8058,2.9703,510.0
12240,44.6348,2.2908,260.0
15038,45.4043,2.6053,655.0
15015,45.2732,2.4681,910.0
38138,45.7314,5.2635,250.0
58003,47.2102,4.1674,600.0
12096,44.5191,2.7624,359.0
12147,43.828,3.0212,510.0
15166,44.8611,2.1872,705.0
15083,44.997,2.4189,630.0
38523,45.2277,5.3409,630.0
12130,44.5993,2.2118,185.0
15207,45.1691,3.1914,805.0
97411,-20.9434,55.4444,1069.0
40184,44.1995,-1.2322,26.0
40040,43.9201,-0.82,80.0
33329,44.3986,-0.2997,96.0
16384,45.3748,-0.2001,95.0
34235,43.6295,2.9989,900.0
34178,43.4597,3.1362,140.0
2B251,42.0069,9.3749,82.0
4093,44.4243,6.1422,1020.0
66072,42.4764,2.0121,1600.0
30090,44.3684,3.9356,470.0
7194,44.6779,4.6063,216.0
7114,45.0344,4.493,1055.0
7263,44.6726,4.4838,500.0
34316,43.7249,3.3967,110.0
34016,43.5768,3.6056,50.0
34286,43.7535,3.4285,620.0
34341,43.4956,3.5931,34.0
4229,44.1398,5.8753,520.0
11251,43.1283,2.5498,240.0
34143,43.4509,3.6279,73.0
7202,44.5451,4.0675,400.0
7136,44.6174,3.9255,912.0
6042,44.003,7.1827,630.0
6116,43.8319,6.7367,1070.0
2B049,42.4736,8.7863,547.0
48119,44.5144,3.9119,900.0
66179,42.3944,2.6222,725.0
66016,42.4602,3.1015,72.0
7045,44.7473,4.2346,602.0
5033,44.3648,5.6592,815.0
7153,44.6646,4.1001,550.0
11265,42.7731,1.9885,980.0
83007,43.6283,6.2139,390.0
48022,44.35,3.6,618.0
48097,44.1587,3.792,650.0
48186,44.3167,3.6167,618.0
30062,43.7853,4.189,12.0
4039,43.8485,6.4871,729.0
83114,43.577,5.8869,348.0
34169,43.6677,3.8621,45.0
7147,44.4777,4.0512,400.0
2A324,42.0729,9.0296,671.0
2A139,41.6594,9.3102,88.0
2B096,42.2737,9.0691,1372.0
2B080,42.5308,9.1339,560.0
66207,42.6046,2.7584,200.0
66056,42.66,2.6837,180.0
66088,42.6746,2.6167,158.0
2B058,42.8393,9.3505,140.0
34339,43.3812,2.9161,219.0
83150,43.7214,5.8017,271.0
2B185,42.6451,9.3453,54.0
2B079,42.4732,9.2967,499.0
2B110,42.2886,9.2519,350.0
11097,42.9786,2.195,222.0
66004,42.5797,2.049,2017.0
66021,42.7271,2.9426,7.0
2B112,42.5515,8.9415,450.0
11396,43.3202,2.5675,125.0
11069,43.2078,2.3491,128.0
4070,44.0954,6.2495,595.0
34038,43.7011,3.1495,249.0
48070,44.7748,3.64,1260.0
13067,43.7844,5.0294,250.0
13001,43.536,5.3879,215.0
11262,43.1493,3.0336,13.0
34186,43.6588,3.2936,184.0
11285,43.0899,2.9547,13.0
34032,43.3481,3.2342,50.0
7038,44.6115,4.0444,1230.0
48148,44.1736,3.8492,518.0
66137,42.4664,2.8639,295.0
34165,43.5325,3.6694,34.0
66141,42.7506,2.9172,42.0
66069,42.7987,2.8231,42.0
83099,43.4712,6.6861,7.0
34061,43.4656,3.0897,140.0
66030,42.7477,2.7545,182.0
66214,42.5559,2.842,148.0
66005,42.546,1.9443,1600.0
66227,42.6402,2.909,13.0
11397,43.209,2.4653,136.0
66147,42.5546,1.8381,1975.0
4163,44.1024,5.5439,804.0
4156,43.9803,6.0245,473.0
13112,43.5215,5.246,198.0
5024,44.4627,5.5309,786.0
7210,44.6976,4.4015,600.0
