id,code_INSEE,nature_inc_prim,tmax_med
1,43192,Involontaire,16.45
2,15095,Involontaire,15.55
3,15205,Involontaire,15.55
4,15187,Involontaire,13.5
5,15029,Involontaire,18.4
6,15229,Accidentelle,13.8
7,12099,Involontaire,14.8
8,12240,Involontaire,15.0
9,15038,Malveillance,14.8
10,15015,Accidentelle,15.45
11,38138,Malveillance,17.0
12,58003,Involontaire,14.1
13,12096,Involontaire,16.0
14,12147,Involontaire,14.8
15,15166,Involontaire,15.0
16,15083,Involontaire,16.4
17,38523,Malveillance,15.3
18,12130,Involontaire,17.5
19,15207,Involontaire,15.6
20,97411,Malveillance,25.0
21,97411,Malveillance,25.0
22,40184,Accidentelle,18.1
23,40040,Involontaire,20.2
24,33329,Involontaire,18.0
25,16384,Accidentelle,17.65
26,34235,Malveillance,17.4
27,34178,Malveillance,19.6
28,2B251,Malveillance,18.9
29,4093,Involontaire,17.05
30,66072,Involontaire,14.7
31,30090,Involontaire,16.4
32,7194,Involontaire,20.3
33,7114,Involontaire,13.0
34,7263,Involontaire,15.1
35,34316,Involontaire,18.9
36,34016,Malveillance,19.7
37,34286,Malveillance,16.9
38,34341,Involontaire,17.9
39,4229,Involontaire,19.05
40,11251,Involontaire,18.5
41,34143,Accidentelle,17.9
42,34286,Malveillance,16.9
43,7202,Involontaire,18.7
44,7136,Involontaire,13.95
45,6042,Involontaire,15.0
46,6116,Involontaire,15.3
47,2B049,Malveillance,20.3
48,48119,Involontaire,14.1
49,66179,Involontaire,17.0
50,66016,Involontaire,17.95
51,7045,Malveillance,16.4
52,5033,Involontaire,18.6
53,7153,Malveillance,19.6
54,11265,Malveillance,14.0
55,83007,Involontaire,18.7
56,48022,Involontaire,20.2
57,48097,Involontaire,15.85
58,48186,Involontaire,20.2
59,30062,Malveillance,20.4
60,4039,Involontaire,19.3
61,83114,Naturelle,20.1
62,34169,Involontaire,19.0
63,7147,Naturelle,18.7
64,2A324,Malveillance,17.35
65,2A139,Involontaire,20.6
66,2B096,Malveillance,10.3
67,2B080,Accidentelle,18.1
68,66207,Accidentelle,19.5
69,66056,Accidentelle,19.5
70,66088,Involontaire,20.1
71,2B058,Involontaire,18.95
72,34339,Involontaire,19.9
73,83150,Involontaire,20.4
74,2B185,Malveillance,20.4
75,2B079,Malveillance,18.3
76,2B110,Malveillance,20.0
77,11097,Involontaire,19.4
78,66004,Naturelle,12.3
79,66021,Involontaire,19.3
80,2B112,Malveillance,19.0
81,11396,Involontaire,17.5
82,11069,Malveillance,17.9
83,4070,Involontaire,18.5
84,2B185,Malveillance,20.4
85,34038,Involontaire,18.4
86,48070,Accidentelle,12.2
87,2B185,Malveillance,20.4
88,2B185,Malveillance,20.4
89,2B049,Malveillance,20.3
90,13067,Malveillance,18.9
91,13001,Malveillance,19.4
92,11262,Accidentelle,18.6
93,34186,Involontaire,19.6
94,11285,Malveillance,19.1
95,34032,Accidentelle,19.5
96,2B185,Malveillance,20.4
97,7038,Naturelle,10.9
98,7147,Accidentelle,18.7
99,48148,Involontaire,18.85
100,66137,Malveillance,19.3
101,34165,Malveillance,19.3
102,66141,Accidentelle,19.45
103,66069,Malveillance,19.45
104,83099,Involontaire,20.6
105,34061,Malveillance,19.6
106,66030,Malveillance,19.5
107,66214,Accidentelle,19.2
108,66005,Involontaire,12.6
109,66088,Malveillance,20.1
110,66227,Accidentelle,19.45
111,11397,Involontaire,18.5
112,66147,Naturelle,12.6
113,4163,Involontaire,15.25
114,4156,Involontaire,20.1
115,13112,Malveillance,20.5
116,5024,Naturelle,16.9
117,7210,Involontaire,17.2
118,2A004,Malveillance,21.5
119,2A004,Malveillance,21.5
120,66150,Involontaire,11.4
121,7266,Involontaire,15.9
122,6057,Involontaire,16.9
123,22233,Accidentelle,16.0
124,17110,Accidentelle,17.9
125,12275,Involontaire,14.8
126,43220,Involontaire,13.5
127,65066,Involontaire,21.4
128,82038,Accidentelle,18.9
129,33230,Involontaire,18.6
130,24263,Accidentelle,20.6
131,34305,Involontaire,15.3
132,2B034,Involontaire,19.0
133,2B350,Malveillance,18.3
134,66048,Accidentelle,17.95
135,4023,Involontaire,17.05
136,4023,Involontaire,17.05
137,2B167,Malveillance,20.3
138,30032,Accidentelle,20.2
139,2B185,Malveillance,20.4
140,34218,Involontaire,18.9
141,2B123,Malveillance,19.7
142,2B185,Malveillance,20.4
143,30032,Malveillance,20.2
144,11122,Involontaire,19.4
145,66186,Malveillance,19.3
146,2B123,Malveillance,19.7
147,2B350,Malveillance,18.3
148,2B205,Involontaire,17.0
149,34323,Malveillance,20.85
150,30033,Malveillance,19.7
151,34147,Involontaire,19.6
152,2B337,Malveillance,33.65
153,66205,Malveillance,17.65
154,2B187,Malveillance,17.0
155,2B143,Malveillance,19.9
156,2B185,Malveillance,20.4
157,2B298,Malveillance,20.4
158,2B185,Malveillance,20.4
159,34281,Malveillance,19.7
160,7334,Involontaire,19.5
161,34026,Malveillance,19.5
162,66145,Involontaire,19.2
163,11262,Accidentelle,18.6
164,2B188,Malveillance,20.4
165,2B287,Malveillance,18.4
166,66016,Involontaire,17.95
167,2B167,Involontaire,20.3
168,66136,Malveillance,19.45
169,13002,Malveillance,17.8
170,2B049,Malveillance,20.3
171,2B184,Involontaire,18.95
172,2B043,Accidentelle,18.7
173,11269,Involontaire,20.5
174,34289,Malveillance,20.1
175,34168,Malveillance,20.85
176,6153,Malveillance,4.1
177,13065,Accidentelle,20.2
178,2B188,Malveillance,20.4
179,83140,Involontaire,19.5
180,4217,Involontaire,19.3
181,66080,Involontaire,11.3
182,65352,Involontaire,18.9
183,15251,Accidentelle,13.8
184,15149,Involontaire,12.9
185,41018,Malveillance,17.4
186,33095,Naturelle,18.75
187,33095,Involontaire,18.75
188,33212,Involontaire,19.55
189,40046,Involontaire,16.9
190,40244,Involontaire,19.1
191,6074,Malveillance,19.8
192,6082,Involontaire,16.55
193,30105,Malveillance,13.15
194,4097,Involontaire,18.5
195,66190,Involontaire,25.2
196,34061,Involontaire,19.6
197,34158,Malveillance,19.5
198,34045,Involontaire,20.85
199,30091,Malveillance,20.4
200,34170,Involontaire,20.5
201,11296,Involontaire,19.5
202,2B030,Malveillance,18.95
203,2B183,Malveillance,18.95
204,66190,Involontaire,25.2
205,2B034,Involontaire,19.0
206,11351,Involontaire,19.6
207,2B314,Involontaire,18.4
208,2B314,Involontaire,18.4
209,34178,Involontaire,19.6
210,34025,Involontaire,19.7
211,2A272,Involontaire,19.8
212,2A048,Malveillance,19.65
213,2B037,Involontaire,17.0
214,34302,Malveillance,19.5
215,7322,Malveillance,14.1
216,2B170,Malveillance,18.7
217,2B316,Malveillance,19.2
218,34113,Involontaire,17.9
219,7003,Involontaire,18.2
220,34123,Involontaire,19.0
221,2A269,Involontaire,20.6
222,34341,Malveillance,17.9
223,2B283,Involontaire,19.7
224,34302,Malveillance,19.5
225,34116,Malveillance,19.0
226,34074,Involontaire,18.9
227,2B123,Malveillance,19.7
228,11260,Malveillance,16.3
229,34313,Involontaire,20.6
230,2A048,Malveillance,19.65
231,2A139,Malveillance,20.6
232,2B079,Malveillance,18.3
233,66108,Involontaire,19.5
234,34226,Involontaire,20.5
235,2A254,Malveillance,17.3
236,2A004,Malveillance,21.5
237,2B049,Malveillance,20.3
238,2B287,Malveillance,18.4
239,7210,Involontaire,17.2
240,34225,Malveillance,19.5
241,66072,Involontaire,14.7
242,6132,Malveillance,19.8
243,6013,Malveillance,16.3
244,48172,Involontaire,13.55
245,34045,Involontaire,20.85
246,34190,Malveillance,19.5
247,12094,Involontaire,18.9
248,12226,Involontaire,18.9
249,39086,Accidentelle,16.95
250,81004,Naturelle,18.6
251,79280,Involontaire,19.45
252,73019,Involontaire,16.6
253,54305,Malveillance,15.0
254,54490,Involontaire,14.0
255,79168,Involontaire,17.05
256,45092,Malveillance,16.3
257,35152,Involontaire,21.6
258,3004,Involontaire,16.25
259,73211,Malveillance,17.8
260,97417,Naturelle,26.6
261,45032,Involontaire,19.4
262,3006,Involontaire,15.9
263,3217,Involontaire,16.8
264,33300,Malveillance,18.2
265,33422,Accidentelle,19.7
266,33238,Accidentelle,19.2
267,33229,Naturelle,18.35
268,33104,Accidentelle,19.4
269,40332,Involontaire,19.25
270,40167,Involontaire,18.45
271,40149,Involontaire,17.35
272,41043,Naturelle,16.7
273,41130,Naturelle,15.4
274,41186,Naturelle,22.4
275,41087,Naturelle,16.1
276,42326,Malveillance,9.55
277,2B123,Involontaire,19.7
278,11170,Involontaire,20.8
279,2B320,Malveillance,19.9
280,34286,Involontaire,16.9
281,34319,Involontaire,20.85
282,2B185,Malveillance,20.4
283,2B201,Involontaire,18.4
284,7323,Malveillance,20.2
285,11315,Malveillance,19.5
286,11386,Malveillance,19.4
287,2B143,Malveillance,19.9
288,11009,Involontaire,18.7
289,7258,Malveillance,11.3
290,84129,Malveillance,20.8
291,2B079,Malveillance,18.3
292,11259,Involontaire,18.7
293,2B059,Malveillance,21.6
294,26318,Involontaire,18.55
295,34103,Malveillance,19.7
296,34003,Involontaire,19.55
297,34019,Involontaire,18.4
298,34181,Malveillance,20.85
299,2B095,Malveillance,17.55
300,2B290,Malveillance,19.0
301,2B185,Malveillance,20.4
302,2B361,Accidentelle,20.3
303,34237,Accidentelle,19.7
304,30231,Malveillance,12.9
305,48122,Involontaire,20.2
306,48074,Involontaire,13.8
307,34242,Accidentelle,19.8
308,83061,Malveillance,17.1
309,66076,Involontaire,19.4
310,66205,Malveillance,17.65
311,66215,Malveillance,20.55
312,66058,Accidentelle,19.5
313,66136,Malveillance,19.45
314,66205,Malveillance,17.65
315,84147,Involontaire,19.75
316,2B080,Malveillance,18.1
317,34302,Malveillance,19.5
318,66030,Malveillance,19.5
319,13005,Malveillance,20.7
320,2A038,Malveillance,20.6
321,66215,Malveillance,20.55
322,34020,Malveillance,19.5
323,2B341,Involontaire,16.3
324,66008,Accidentelle,17.95
325,11198,Accidentelle,17.5
326,11022,Malveillance,19.5
327,66127,Involontaire,19.8
328,2B355,Malveillance,18.3
329,11016,Malveillance,18.5
330,66014,Involontaire,19.45
331,30009,Involontaire,16.6
332,30009,Involontaire,16.6
333,2B096,Malveillance,10.3
334,11018,Malveillance,17.9
335,6162,Involontaire,19.1
336,11285,Accidentelle,19.1
337,11276,Involontaire,17.65
338,34339,Malveillance,19.9
339,7112,Involontaire,18.2
340,2A031,Malveillance,16.5
341,48116,Involontaire,13.55
342,48022,Involontaire,20.2
343,4194,Involontaire,20.0
344,6074,Malveillance,19.8
345,6103,Malveillance,17.6
346,7286,Involontaire,15.2
347,2B337,Involontaire,33.65
348,6074,Malveillance,19.8
349,6074,Malveillance,19.8
350,6132,Malveillance,19.8
351,6023,Malveillance,19.8
352,6103,Malveillance,17.6
353,26113,Involontaire,18.5
354,12163,Malveillance,16.6
355,12082,Involontaire,15.7
356,12076,Accidentelle,14.6
357,46183,Naturelle,18.8
358,18219,Accidentelle,16.7
359,81066,Accidentelle,14.0
360,58081,Malveillance,16.1
361,17038,Malveillance,17.9
362,17074,Malveillance,18.8
363,17110,Malveillance,17.9
364,47234,Involontaire,19.5
365,33273,Accidentelle,19.4
366,2B183,Malveillance,18.95
367,2B281,Malveillance,18.7
368,2B109,Malveillance,17.0
369,6142,Involontaire,17.55
370,48166,Involontaire,14.35
371,48194,Involontaire,16.4
372,84034,Malveillance,19.1
373,6098,Involontaire,18.3
374,6074,Malveillance,19.8
375,2B159,Malveillance,18.95
376,2B313,Malveillance,20.75
377,34103,Malveillance,19.7
378,34004,Involontaire,19.9
379,7202,Involontaire,18.7
380,6074,Malveillance,19.8
381,34166,Involontaire,19.9
382,11198,Malveillance,17.5
383,2B096,Involontaire,10.3
384,66143,Involontaire,32.7
385,66030,Malveillance,19.5
386,66030,Accidentelle,19.5
387,66140,Accidentelle,19.5
388,11308,Involontaire,18.7
389,11273,Malveillance,19.5
390,11099,Accidentelle,17.9
391,83069,Involontaire,20.8
392,83064,Involontaire,19.8
393,2B143,Malveillance,19.9
394,13026,Malveillance,19.4
395,13056,Malveillance,18.8
396,34032,Involontaire,19.5
397,34225,Accidentelle,19.5
398,2B355,Malveillance,18.3
399,66180,Involontaire,19.3
400,66071,Malveillance,19.5
401,11144,Involontaire,25.2
402,48004,Involontaire,14.1
403,11262,Malveillance,18.6
404,34145,Accidentelle,20.4
405,34163,Involontaire,19.3
406,11390,Involontaire,19.6
407,2B320,Malveillance,19.9
408,34148,Malveillance,19.5
409,2B009,Malveillance,19.9
410,2B185,Malveillance,20.4
411,66106,Involontaire,19.3
412,30181,Malveillance,19.6
413,30141,Involontaire,20.1
414,11162,Involontaire,23.8
415,34285,Malveillance,20.1
416,11022,Malveillance,19.5
417,66164,Involontaire,19.45
418,66205,Malveillance,17.65
419,66212,Malveillance,19.3
420,66008,Malveillance,17.95
421,11148,Accidentelle,19.6
422,11361,Involontaire,17.2
423,2B251,Malveillance,18.9
424,13001,Malveillance,19.4
425,66030,Malveillance,19.5
426,13056,Malveillance,18.8
427,13118,Involontaire,19.6
428,13097,Malveillance,19.95
429,2B105,Malveillance,20.0
430,2B238,Malveillance,20.0
431,2B009,Malveillance,19.9
432,2B096,Malveillance,10.3
433,2B148,Malveillance,19.5
434,2B116,Malveillance,18.4
435,84030,Malveillance,20.1
436,2B148,Involontaire,19.5
437,34073,Accidentelle,19.9
438,11286,Malveillance,17.5
439,11410,Involontaire,17.5
440,66030,Malveillance,19.5
441,34291,Malveillance,13.3
442,2B299,Involontaire,20.75
443,34055,Involontaire,17.4
444,34055,Involontaire,17.4
445,66048,Involontaire,17.95
446,66016,Involontaire,17.95
447,2B140,Malveillance,21.6
448,7018,Malveillance,13.95
449,66192,Involontaire,11.3
450,34235,Malveillance,17.4
451,5164,Involontaire,16.2
452,66190,Involontaire,25.2
453,6103,Malveillance,17.6
454,4193,Involontaire,5.0
455,30154,Involontaire,18.0
456,30169,Malveillance,19.3
457,6049,Malveillance,15.2
458,43171,Involontaire,13.5
459,73235,Involontaire,21.7
460,12168,Accidentelle,14.4
461,43155,Involontaire,13.5
462,81163,Malveillance,14.0
463,16061,Involontaire,18.3
464,16255,Involontaire,17.2
465,45015,Involontaire,16.1
466,97410,Malveillance,21.2
467,31573,Accidentelle,20.5
468,31085,Involontaire,17.8
469,31222,Accidentelle,17.9
470,15156,Involontaire,14.8
471,15149,Involontaire,12.9
472,15113,Involontaire,10.2
473,97415,Malveillance,20.0
474,24465,Involontaire,17.8
475,40167,Involontaire,18.45
476,65045,Involontaire,14.2
477,66069,Involontaire,19.45
478,66016,Accidentelle,17.95
479,2A019,Malveillance,19.65
480,6146,Malveillance,16.5
481,2A041,Accidentelle,18.05
482,6077,Involontaire,12.5
483,7153,Malveillance,19.6
484,5038,Malveillance,10.8
485,26354,Involontaire,16.35
486,7141,Malveillance,14.9
487,48165,Involontaire,12.4
488,48020,Involontaire,12.9
489,30190,Involontaire,17.9
490,13039,Malveillance,19.3
491,34237,Involontaire,19.7
492,6074,Malveillance,19.8
493,6157,Involontaire,20.25
494,34103,Malveillance,19.7
495,34183,Involontaire,19.5
496,2B185,Malveillance,20.4
497,13039,Malveillance,19.3
498,34135,Accidentelle,19.5
499,2B123,Malveillance,19.7
500,13098,Malveillance,19.4
501,83101,Involontaire,18.4
502,4020,Involontaire,17.05
503,5101,Involontaire,2.0
504,6157,Accidentelle,20.25
505,34214,Malveillance,19.7
506,5108,Involontaire,16.2
507,66053,Involontaire,17.95
508,2B314,Accidentelle,18.4
509,34031,Malveillance,19.9
510,2B079,Malveillance,18.3
511,2B290,Malveillance,19.0
512,2B355,Involontaire,18.3
513,34013,Involontaire,20.6
514,4160,Involontaire,16.75
515,48100,Involontaire,14.9
516,6050,Malveillance,15.2
517,2A103,Involontaire,19.0
518,2A198,Malveillance,16.5
519,2A323,Malveillance,19.0
520,6156,Involontaire,17.6
521,2A215,Accidentelle,20.5
522,2B009,Malveillance,19.9
523,2B143,Malveillance,19.9
524,13072,Involontaire,20.5
525,6034,Involontaire,20.6
526,6130,Malveillance,16.6
527,30189,Malveillance,19.5
528,30351,Malveillance,20.1
529,4020,Involontaire,17.05
530,4218,Involontaire,17.85
531,34166,Malveillance,19.9
532,66138,Malveillance,19.45
533,66024,Involontaire,20.9
534,13047,Malveillance,19.3
535,34116,Malveillance,19.0
536,13001,Involontaire,19.4
537,13047,Malveillance,19.3
538,26022,Involontaire,15.95
539,2A249,Malveillance,20.6
540,2A017,Malveillance,21.5
541,2A001,Malveillance,19.75
542,2A004,Involontaire,21.5
543,34181,Involontaire,20.85
544,66130,Involontaire,14.7
545,66003,Malveillance,20.6
546,83119,Involontaire,18.8
547,13077,Malveillance,19.4
548,2B123,Malveillance,19.7
549,30081,Involontaire,20.1
550,6101,Involontaire,13.9
551,30258,Involontaire,19.7
552,2B277,Malveillance,18.9
553,7251,Malveillance,18.2
554,34076,Malveillance,20.6
555,4024,Involontaire,15.8
556,2B039,Malveillance,18.3
557,4171,Accidentelle,19.3
558,84084,Malveillance,18.7
559,84050,Accidentelle,18.05
560,34341,Involontaire,17.9
561,4070,Malveillance,18.5
562,30105,Malveillance,13.15
563,83061,Involontaire,17.1
564,2B292,Malveillance,20.0
565,2B292,Malveillance,20.0
566,2B143,Malveillance,19.9
567,13073,Malveillance,20.5
568,34096,Malveillance,18.8
569,7086,Involontaire,16.7
570,26116,Involontaire,19.7
571,2A345,Malveillance,19.0
572,2A139,Malveillance,20.6
573,34181,Malveillance,20.85
574,13055,Malveillance,19.8
575,6050,Involontaire,15.2
576,34145,Involontaire,20.4
577,34235,Malveillance,17.4
578,2B079,Malveillance,18.3
579,6077,Naturelle,12.5
580,2B301,Malveillance,18.4
581,83142,Accidentelle,16.1
582,34211,Involontaire,18.8
583,34281,Malveillance,19.7
584,34170,Involontaire,20.5
585,6066,Involontaire,16.4
586,34213,Involontaire,17.9
587,2B116,Malveillance,18.4
588,4008,Accidentelle,16.8
589,4148,Malveillance,16.3
590,48008,Involontaire,11.55
591,4120,Involontaire,4.9
592,30085,Accidentelle,18.6
593,7139,Involontaire,18.2
594,13038,Involontaire,20.2
595,4023,Involontaire,17.05
596,4139,Involontaire,20.0
597,26123,Involontaire,15.0
598,66014,Involontaire,19.45
599,48130,Involontaire,15.5
600,48096,Malveillance,14.4
601,66066,Involontaire,12.6
602,66011,Malveillance,19.2
603,66108,Involontaire,19.5
604,12076,Malveillance,14.6
605,43082,Accidentelle,17.5
606,46176,Accidentelle,20.3
607,23062,Accidentelle,18.95
608,12025,Involontaire,16.6
609,12228,Involontaire,17.0
610,40243,Involontaire,19.75
611,47215,Involontaire,19.65
612,7012,Involontaire,12.85
613,83059,Involontaire,19.8
614,34213,Involontaire,17.9
615,34032,Involontaire,19.5
616,66190,Accidentelle,25.2
617,2B055,Malveillance,18.3
618,2B123,Malveillance,19.7
619,30042,Malveillance,19.2
620,34165,Malveillance,19.3
621,34232,Involontaire,18.9
622,34036,Malveillance,18.9
623,2B123,Malveillance,19.7
624,2B009,Malveillance,19.9
625,34281,Malveillance,19.7
626,2A284,Involontaire,20.6
627,13071,Accidentelle,19.4
628,34121,Malveillance,13.6
629,34226,Involontaire,20.5
630,48115,Involontaire,12.9
631,2B318,Accidentelle,20.75
632,34165,Malveillance,19.3
633,34165,Accidentelle,19.3
634,34332,Involontaire,19.9
635,66136,Involontaire,19.45
636,66190,Involontaire,25.2
637,66228,Malveillance,19.45
638,2B201,Malveillance,18.4
639,48162,Involontaire,14.35
640,66065,Malveillance,19.3
641,66190,Involontaire,25.2
642,34286,Involontaire,16.9
643,34200,Malveillance,20.85
644,6062,Involontaire,17.4
645,6074,Malveillance,19.8
646,38140,Accidentelle,13.05
647,39557,Malveillance,16.95
648,39478,Involontaire,13.9
649,39289,Involontaire,16.95
650,43012,Involontaire,14.25
651,21037,Involontaire,16.3
652,65428,Involontaire,16.1
653,65032,Involontaire,14.2
654,55574,Involontaire,14.4
655,39377,Involontaire,15.8
656,21694,Involontaire,14.7
657,21309,Involontaire,17.3
658,52205,Involontaire,15.5
659,49154,Involontaire,21.05
660,49180,Involontaire,17.55
661,58087,Malveillance,16.4
662,31334,Involontaire,18.8
663,31451,Involontaire,17.15
664,81016,Malveillance,17.6
665,23067,Accidentelle,13.8
666,23067,Accidentelle,13.8
667,58226,Accidentelle,16.9
668,12090,Involontaire,15.3
669,79153,Involontaire,17.8
670,50403,Malveillance,15.45
671,3055,Accidentelle,15.7
672,64255,Involontaire,20.4
673,64276,Involontaire,17.1
674,64124,Involontaire,20.4
675,64504,Involontaire,18.5
676,64477,Involontaire,16.25
