id,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,altitude_med,altitude_zone
1,43192,72000.0,2012,Feb,28,13,Involontaire,particulier,1150.0,Haute
2,15095,150000.0,2012,Feb,29,13,Involontaire,travaux,940.0,Basse
3,15205,300000.0,2012,Mar,2,13,Involontaire,particulier,940.0,Basse
4,15187,70000.0,2012,Mar,2,13,Involontaire,particulier,975.0,Basse
5,15029,80000.0,2012,Mar,8,11,Involontaire,particulier,439.0,Basse
6,15229,50000.0,2012,Mar,14,19,Accidentelle,NA,805.0,Basse
7,12099,75000.0,2012,Mar,1,16,Involontaire,particulier,510.0,Basse
8,12240,75000.0,2012,Mar,2,14,Involontaire,particulier,260.0,Basse
9,15038,180000.0,2012,Mar,16,13,Malveillance,NA,655.0,Basse
10,15015,50000.0,2012,Mar,17,8,Accidentelle,NA,910.0,Basse
11,38138,50000.0,2012,Mar,2,16,Malveillance,NA,250.0,Basse
12,58003,70000.0,2012,Mar,27,21,Involontaire,travaux,600.0,Basse
13,12096,50000.0,2012,Mar,23,19,Involontaire,particulier,359.0,Basse
14,12147,50000.0,2012,Mar,14,15,Involontaire,particulier,510.0,Basse
15,15166,50000.0,2012,Mar,28,13,Involontaire,travaux,705.0,Basse
16,15083,60000.0,2012,Mar,29,15,Involontaire,travaux,630.0,Basse
17,38523,50000.0,2012,Mar,26,11,Malveillance,NA,630.0,Basse
18,12130,650000.0,2012,Mar,28,12,Involontaire,particulier,185.0,Basse
19,15207,100000.0,2012,Apr,2,15,Involontaire,travaux,805.0,Basse
20,97411,150000.0,2012,Sep,16,11,Malveillance,NA,1069.0,Haute
21,97411,85000.0,2012,Oct,27,11,Malveillance,NA,1069.0,Haute
22,40184,162907.0,2012,Aug,16,15,Accidentelle,NA,26.0,Basse
23,40040,153000.0,2012,Feb,28,14,Involontaire,particulier,80.0,Basse
24,33329,119800.0,2012,Sep,20,16,Involontaire,travaux,96.0,Basse
25,16384,50000.0,2012,Jun,25,2,Accidentelle,NA,95.0,Basse
26,34235,74000.0,2012,Feb,22,21,Malveillance,NA,900.0,Basse
27,34178,83300.0,2012,Feb,20,15,Malveillance,NA,140.0,Basse
28,2B251,200000.0,2012,Jan,6,12,Malveillance,NA,82.0,Basse
29,4093,182000.0,2012,Feb,19,13,Involontaire,particulier,1020.0,Haute
30,66072,50000.0,2012,Feb,29,15,Involontaire,travaux,1600.0,Haute
31,30090,102800.0,2012,Feb,9,12,Involontaire,particulier,470.0,Basse
32,7194,86000.0,2012,Mar,2,17,Involontaire,travaux,216.0,Basse
33,7114,120000.0,2012,Mar,3,10,Involontaire,travaux,1055.0,Haute
34,7263,166000.0,2012,Mar,3,14,Involontaire,travaux,500.0,Basse
35,34316,55000.0,2012,Feb,23,15,Involontaire,travaux,110.0,Basse
36,34016,150000.0,2012,Mar,8,7,Malveillance,NA,50.0,Basse
37,34286,100000.0,2012,Mar,10,14,Malveillance,NA,620.0,Basse
38,34341,101100.0,2012,Mar,9,15,Involontaire,travaux,34.0,Basse
39,4229,68000.0,2012,Feb,23,12,Involontaire,travaux,520.0,Basse
40,11251,64200.0,2012,Feb,29,13,Involontaire,travaux,240.0,Basse
41,34143,320000.0,2012,Mar,8,14,Accidentelle,NA,73.0,Basse
42,34286,190200.0,2012,Mar,10,14,Malveillance,NA,620.0,Basse
43,7202,450000.0,2012,Mar,15,15,Involontaire,particulier,400.0,Basse
44,7136,76000.0,2012,Mar,15,17,Involontaire,travaux,912.0,Basse
45,6042,518181.0,2012,Jan,17,13,Involontaire,travaux,630.0,Basse
46,6116,120500.0,2012,Mar,16,10,Involontaire,travaux,1070.0,Haute
47,2B049,50000.0,2012,Mar,11,17,Malveillance,NA,547.0,Basse
48,48119,50000.0,2012,Feb,21,14,Involontaire,travaux,900.0,Basse
49,66179,70000.0,2012,Mar,24,13,Involontaire,travaux,725.0,Basse
50,66016,50000.0,2012,Mar,25,12,Involontaire,travaux,72.0,Basse
51,7045,590000.0,2012,Mar,27,16,Malveillance,NA,602.0,Basse
52,5033,223300.0,2012,Mar,11,13,Involontaire,particulier,815.0,Basse
53,7153,114000.0,2012,Mar,28,20,Malveillance,NA,550.0,Basse
54,11265,53200.0,2012,Mar,29,13,Malveillance,NA,980.0,Basse
55,83007,50000.0,2012,Mar,28,17,Involontaire,travaux,390.0,Basse
56,48022,60000.0,2012,Mar,16,15,Involontaire,travaux,618.0,Basse
57,48097,50000.0,2012,Mar,1,11,Involontaire,travaux,650.0,Basse
58,48186,60000.0,2012,Feb,26,14,Involontaire,particulier,618.0,Basse
59,30062,70606.0,2012,Apr,2,14,Malveillance,NA,12.0,Basse
60,4039,50000.0,2012,Feb,29,15,Involontaire,travaux,729.0,Basse
61,83114,60475.0,2012,May,5,17,Naturelle,NA,348.0,Basse
62,34169,76600.0,2012,May,13,15,Involontaire,particulier,45.0,Basse
63,7147,80000.0,2012,May,17,18,Naturelle,NA,400.0,Basse
64,2A324,153000.0,2012,Mar,10,13,Malveillance,NA,671.0,Basse
65,2A139,147300.0,2012,Mar,10,14,Involontaire,particulier,88.0,Basse
66,2B096,70000.0,2012,Jun,13,13,Malveillance,NA,1372.0,Haute
67,2B080,260200.0,2012,Jul,1,11,Accidentelle,NA,560.0,Basse
68,66207,100000.0,2012,Jun,25,14,Accidentelle,NA,200.0,Basse
69,66056,50000.0,2012,Jun,25,14,Accidentelle,NA,180.0,Basse
70,66088,70000.0,2012,Jun,25,17,Involontaire,particulier,158.0,Basse
71,2B058,50000.0,2012,Jun,23,15,Involontaire,travaux,140.0,Basse
72,34339,140000.0,2012,Jun,23,14,Involontaire,particulier,219.0,Basse
73,83150,50000.0,2012,Jul,11,14,Involontaire,travaux,271.0,Basse
74,2B185,60000.0,2012,Jul,12,10,Malveillance,NA,54.0,Basse
75,2B079,185100.0,2012,Jul,13,12,Malveillance,NA,499.0,Basse
76,2B110,150067.0,2012,Jul,13,13,Malveillance,NA,350.0,Basse
77,11097,267000.0,2012,Jul,13,15,Involontaire,travaux,222.0,Basse
78,66004,300000.0,2012,Jul,4,10,Naturelle,NA,2017.0,Haute
79,66021,100000.0,2012,Jul,16,13,Involontaire,travaux,7.0,Basse
80,2B112,650000.0,2012,Jul,15,19,Malveillance,NA,450.0,Basse
81,11396,672258.0,2012,Jul,19,11,Involontaire,travaux,125.0,Basse
82,11069,95300.0,2012,Jul,21,17,Malveillance,NA,128.0,Basse
83,4070,50000.0,2012,Jun,22,14,Involontaire,particulier,595.0,Basse
84,2B185,59000.0,2012,Jul,25,16,Malveillance,NA,54.0,Basse
85,34038,130000.0,2012,Feb,8,16,Involontaire,particulier,249.0,Basse
86,48070,350000.0,2012,Apr,28,18,Accidentelle,NA,1260.0,Haute
87,2B185,60000.0,2012,Jul,30,12,Malveillance,NA,54.0,Basse
88,2B185,60000.0,2012,Jul,30,15,Malveillance,NA,54.0,Basse
89,2B049,60000.0,2012,Aug,4,15,Malveillance,NA,547.0,Basse
90,13067,74000.0,2012,Jul,16,18,Malveillance,NA,250.0,Basse
91,13001,180000.0,2012,Jul,23,15,Malveillance,NA,215.0,Basse
92,11262,582300.0,2012,Aug,9,16,Accidentelle,NA,13.0,Basse
93,34186,52000.0,2012,Feb,21,20,Involontaire,travaux,184.0,Basse
94,11285,71100.0,2012,Aug,13,16,Malveillance,NA,13.0,Basse
95,34032,54000.0,2012,Jun,25,15,Accidentelle,NA,50.0,Basse
96,2B185,90000.0,2012,Aug,20,12,Malveillance,NA,54.0,Basse
97,7038,500000.0,2012,Aug,21,17,Naturelle,NA,1230.0,Haute
98,7147,80000.0,2012,Aug,21,7,Accidentelle,NA,400.0,Basse
99,48148,50000.0,2012,Feb,15,15,Involontaire,particulier,518.0,Basse
100,66137,120000.0,2012,Jul,22,13,Malveillance,NA,295.0,Basse
