id,code_INSEE,annee,mois,jour,heure,tmax_med
1,1037,2019,Feb,28,16,17.7
2,11009,2015,Jul,10,15,18.7
3,11016,2015,Sep,11,12,18.5
4,11018,2015,Sep,25,16,17.9
5,11022,2015,Aug,26,15,19.5
6,11022,2016,Aug,10,20,19.5
7,11069,2012,Jul,21,17,17.9
8,11095,2022,Aug,29,12,19.4
9,11097,2012,Jul,13,15,19.4
10,11099,2016,Jul,16,16,17.9
11,11122,2013,Aug,9,16,19.4
12,11132,2022,Nov,20,14,19.6
13,11144,2016,Jul,17,19,25.2
14,11148,2016,Aug,21,14,19.6
15,11162,2016,Aug,2,16,23.8
16,11170,2015,Jun,7,15,20.8
17,11198,2015,Aug,18,19,17.5
18,11198,2016,Jun,30,17,17.5
19,11251,2012,Feb,29,13,18.5
20,11259,2015,Jul,13,14,18.7
21,11260,2014,Sep,1,14,16.3
22,11262,2012,Aug,9,16,18.6
23,11262,2013,Sep,19,12,18.6
24,11262,2016,Jan,15,22,18.6
25,11265,2012,Mar,29,13,14.0
26,11269,2013,Mar,15,10,20.5
27,11273,2016,Jul,14,21,19.5
28,11276,2015,Oct,16,15,17.65
29,11285,2012,Aug,13,16,19.1
30,11285,2015,Oct,16,14,19.1
31,11286,2016,Sep,5,23,17.5
32,11296,2014,May,30,12,19.5
33,11308,2016,Jul,7,12,18.7
34,11315,2015,Jun,27,10,19.5
35,11351,2014,Jun,29,14,19.6
36,11361,2016,Aug,21,16,17.2
37,11386,2015,Jul,8,4,19.4
38,11390,2016,Feb,5,16,19.6
39,11396,2012,Jul,19,11,17.5
40,11397,2012,Sep,14,13,18.5
41,11410,2016,Sep,7,15,17.5
42,12003,2022,Aug,8,13,17.5
43,12025,2018,Aug,9,11,16.6
44,12037,2022,Sep,22,15,14.3
45,12076,2016,Aug,15,16,14.6
46,12076,2018,Feb,27,14,14.6
47,12082,2016,Jul,19,9,15.7
48,12090,2019,Jul,12,15,15.3
49,12094,2015,Feb,10,14,18.9
50,12094,2021,Feb,22,1,18.9
51,12096,2012,Mar,23,19,16.0
52,12099,2012,Mar,1,16,14.8
53,12130,2012,Mar,28,12,17.5
54,12147,2012,Mar,14,15,14.8
55,12155,2021,Mar,30,15,15.3
56,12163,2016,Feb,21,18,16.6
57,12163,2022,Jun,19,17,16.6
58,12168,2017,Mar,16,13,14.4
59,12225,2022,Mar,28,13,14.6
