id,code_INSEE,surface_parcourue_m2,Force_vent_med
1,43192,72000.0,4.3
2,15095,150000.0,2.8
3,15205,300000.0,4.4
4,15187,70000.0,2.6
5,15029,80000.0,3.4
6,15229,50000.0,2.1
7,12099,75000.0,3.3
8,12240,75000.0,3.4
9,15038,180000.0,4.7
10,15015,50000.0,2.3
11,38138,50000.0,2.9
12,58003,70000.0,3.3
13,12096,50000.0,2.0
14,12147,50000.0,3.9
15,15166,50000.0,2.2
16,15083,60000.0,2.8
17,38523,50000.0,0.9
18,12130,650000.0,2.2
19,15207,100000.0,1.05
20,97411,150000.0,3.3
21,97411,85000.0,3.3
22,40184,162907.0,1.3
23,40040,153000.0,1.2
24,33329,119800.0,2.4
25,16384,50000.0,2.2
26,34235,74000.0,5.3
27,34178,83300.0,3.1
28,2B251,200000.0,3.1
29,4093,182000.0,1.8
30,66072,50000.0,2.8
31,30090,102800.0,2.7
32,7194,86000.0,3.8
33,7114,120000.0,3.7
34,7263,166000.0,3.8
35,34316,55000.0,4.7
36,34016,150000.0,2.2
37,34286,100000.0,4.7
38,34341,101100.0,4.8
39,4229,68000.0,1.8
40,11251,64200.0,4.9
41,34143,320000.0,4.8
42,34286,190200.0,4.7
43,7202,450000.0,1.5
44,7136,76000.0,3.3
45,6042,518181.0,2.0
46,6116,120500.0,1.8
47,2B049,50000.0,3.7
48,48119,50000.0,3.3
49,66179,70000.0,1.8
50,66016,50000.0,8.0
51,7045,590000.0,3.6
52,5033,223300.0,2.4
53,7153,114000.0,1.7
54,11265,53200.0,2.7
55,83007,50000.0,2.3
56,48022,60000.0,4.2
57,48097,50000.0,3.4
58,48186,60000.0,4.2
59,30062,70606.0,2.5
60,4039,50000.0,1.6
61,83114,60475.0,2.3
62,34169,76600.0,2.2
63,7147,80000.0,1.5
64,2A324,153000.0,4.4
65,2A139,147300.0,3.1
66,2B096,70000.0,3.3
67,2B080,260200.0,2.6
68,66207,100000.0,2.6
69,66056,50000.0,2.6
70,66088,70000.0,3.1
71,2B058,50000.0,4.3
72,34339,140000.0,3.9
73,83150,50000.0,2.5
74,2B185,60000.0,2.3
75,2B079,185100.0,2.6
76,2B110,150067.0,1.7
77,11097,267000.0,3.3
78,66004,300000.0,3.6
79,66021,100000.0,3.4
80,2B112,650000.0,4.7
81,11396,672258.0,4.5
82,11069,95300.0,4.7
83,4070,50000.0,2.7
84,2B185,59000.0,2.3
85,34038,130000.0,3.2
86,48070,350000.0,7.0
87,2B185,60000.0,2.3
88,2B185,60000.0,2.3
89,2B049,60000.0,3.7
90,13067,74000.0,5.1
91,13001,180000.0,2.0
92,11262,582300.0,5.3
93,34186,52000.0,4.7
94,11285,71100.0,5.3
95,34032,54000.0,4.0
96,2B185,90000.0,2.3
97,7038,500000.0,1.5
98,7147,80000.0,1.5
99,48148,50000.0,3.1
100,66137,120000.0,3.5
101,34165,414500.0,4.8
102,66141,140000.0,4.5
103,66069,50000.0,4.5
104,83099,254000.0,1.7
105,34061,230000.0,3.1
106,66030,50000.0,2.6
107,66214,160000.0,3.7
108,66005,630000.0,2.8
109,66088,50000.0,3.1
110,66227,150000.0,4.5
111,11397,143800.0,4.9
112,66147,50000.0,2.8
113,4163,297000.0,3.4
114,4156,264000.0,3.3
115,13112,320000.0,2.7
116,5024,400000.0,1.8
117,7210,70000.0,2.6
118,2A004,438000.0,3.2
119,2A004,50000.0,3.2
